test,BetacommandBot|MediaWiki default
da,AStarBot|Adlerbot|Aibot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|AlteaBot|Amirobot|AndersBot|ArthurBot|AsgardBot|BOTarate|BOTijo|Barklundo|BenzolBot|BodhisattvaBot|BokimBot|Bot-Schafter|BotMultichill|Botindustrien|Broadbot|ButkoBot|Byrialbot|Chlewbot|Chobot|Christian75bot|D\|Darkicebot|Diego Grez Bot|DirlBot|DixonDBot|Dotorida|DrFO.Tn.Bot|DragonBot|DumZiBoT|Egmontbot|EivindBot|EleferenBot|EmausBot|Erwin85Bot|Escarbot|Ficbot|FlaBot|FribergBot|Froztbytebot|Geimas5Bot|GhalyBot|GnawnBot|Gpvosbot|H92Bot|Hashar|Hebbot|HerculeBot|Hxhbot|Idioma-bot|JAnDbot|JackieBot|JhsBot|KaareBot|KamikazeBot|Ken123BOT|KhanBot|Kwjbot|LA2-bot|LaaknorBot|Le Pied-bot|LeonardoRob0t|LinkFA-Bot|Louperibot|Loveless|LucienBOT|Luckas-bot|MGA73bot|MSBOT|MagnusA.Bot|Maitchbot|MastiBot|MaszO\|MauritsBot|MediaWiki default|MelancholieBot|Mentibot|MerlLinkBot|MondalorBot|Muro Bot|NTBot|Nallimbot|NobelBot|Nobot|OKBot|Obersachsebot|OdderBot|Optimus Pred|PalicaBOT|PenguinBot|PipepBot|PixelBot|PolarBot|Ptbotgourou|Purbo T|Qualia|Rei-bot|Riad.Bot|RibotBOT|Robbot|Robot|RobotManscher|RobotQuistnix|SauÃ°kindin|SieBot|SilvonenBot|Soulbot|SoxBot|SpBot|SpillingBot|Steenthbot|StigBot|SuisuiBot|Synthebot|TARBOT|TXiKiBoT|Thijs!bot|TjBot|TobeBot|Tsca.bot|TuHan-Bot|TuvicBot|Twidrobot|VanBot|VolkovBot|VsBot|Webot|WeggeBot|WikiDreamer Bot|Wybot|YonaBot|Yurik|YurikBot|Zorrobot|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
he,Adlerbot|Albambot|Alexbot|Almabot|Amirobot|ArthurBot|BOTarate|BodhisattvaBot|BokimBot|BotMultichill|ButkoBot|CarsracBot|Chobot|CommonsDelinker|Costello-bot|DMbotY|D\|Darkicebot|Dinamik-bot|DirlBot|DrFO.Tn.Bot|DragonBot|Egmontbot|EleferenBot|EmausBot|Escarbot|FlaBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|JhsBot|KamikazeBot|Kwjbot|Loveless|Luckas-bot|MelancholieBot|MerlLinkBot|Mikibot|Muro Bot|Nallimbot|Ptbotgourou|Purbo T|Robbot|RonaldB|Rotemliss-bot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|Tomerbot|VanBot|Ver-bot|VolkovBot|Wybot|Yonidebot|ZÃ©roBot|×‘×¨×•×§×•-×‘×•×˜|×’×•×˜×ž×Ÿ-×‘×•×˜|×˜-×‘×•×˜-×–×¨×�|×ž×ª× ×™×”-×‘×•×˜|×¢×¨×Ÿ ×‘×•×˜
ty,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot|TobeBot
ht,Albambot|Alexbot|AlleborgoBot|Almabot|BenzolBot|BodhisattvaBot|BotMultichill|Byrialbot|Darkicebot|DragonBot|Escarbot|Idioma-bot|JAnDbot|Korribot|Luckas-bot|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|SpBot|Superzerocool|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|YonaBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
roa_rup,AlleborgoBot|BotMultichill|Byrialbot|MediaWiki default|PipepBot|Purbo T|TXiKiBoT|TechBot|VolkovBot|YurikBot
tum,AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|ã‚¿ãƒ�ã‚³ãƒž robot
nv,AlleborgoBot|BotMultichill|Idioma-bot|Loveless|MauritsBot|MediaWiki default|PipepBot|Purbo T
hsb,Alexbot|AlleborgoBot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|EmausBot|Idioma-bot|JAnDbot|MediaWiki default|MelancholieBot|Obersachsebot|PipepBot|Purbo T|SieBot|StigBot|TchoÅ˜oBot|VolkovBot
dsb,Alexbot|AlleborgoBot|ArthurBot|BotMultichill|EmausBot|Escarbot|JAnDbot|MauritsBot|MelancholieBot|Obersachsebot|Purbo T|SieBot|SpBot|TXiKiBoT|VolkovBot
so,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SpBot|StigBot|YurikBot|ã‚¿ãƒ�ã‚³ãƒž robot
pcd,EmausBot
kl,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|Loveless|MGA73bot|MediaWiki default|PipepBot|Purbo T|SieBot|YurikBot
fur,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|CruccoBot|Escarbot|Gacbot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|SpBot|StigBot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|YurikBot
hif,Alexbot|CarsracBot|Idioma-bot|PipepBot|Purbo T|SieBot
jbo,Alexbot|AlleborgoBot|BOT-Superzerocool|BotMultichill|CarsracBot|Escarbot|JAnDbot|Logobot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|Synthebot|TXiKiBoT|TobeBot|VolkovBot|YurikBot
kn,AlleborgoBot|BotMultichill|Byrialbot|DragonBot|Escarbot|Hashar|Idioma-bot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|Zwobot
mr,Alexbot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|DragonBot|EmausBot|Escarbot|FiriBot|HerculeBot|Idioma-bot|JAnDbot|Luckas-bot|MarathiBot|MastiBot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|Rubinbot|Sangkamya|SassoBot|SieBot|SpBot|StigBot|Sz-iwbot|TXiKiBoT|Thijs!bot|TrengarasuBOT|VolkovBot|WikiDreamer Bot|Xqbot|à¤•à¥�à¤°à¤¿à¤•à¤¾à¤®à¥�à¤¯à¤¾|à¤¸à¤¾à¤‚à¤—à¤•à¤¾à¤®à¥�à¤¯à¤¾|à¤¸à¤¾à¤‚à¤—à¤•à¤¾à¤®à¥�à¤¯à¤¾ à¤µà¤°à¥�à¤·à¤¾|à¤¹à¤°à¤•à¤¾à¤®à¥�à¤¯à¤¾|ã‚¿ãƒ�ã‚³ãƒž robot
kaa,Alexbot|Purbo T
os,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|EmausBot|Escarbot|Eskimbot|FiriBot|Idioma-bot|IronBot|JAnDbot|Le Pied-bot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
jv,Albambot|AlleborgoBot|BenzolBot|BodhisattvaBot|Borgxbot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Erwin85Bot|Escarbot|Idioma-bot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|MondalorBot|PancenaBot|PipepBot|Prabot|Ptbotgourou|Purbo T|Revobot|SieBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TottyBot|VolkovBot|YonaBot|ã‚¿ãƒ�ã‚³ãƒž robot
ng,AlleborgoBot|BotMultichill|MediaWiki default|Purbo T|YurikBot
be_x_old,Aibot|Alexbot|AlleborgoBot|Almabot|Amirobot|AmphBot|Bocianski.bot|BokimBot|Bot-Skorohod|BotMultichill|ButkoBot|Byrialbot|CommonsDelinker|Darkicebot|Diego Grez Bot|Dinamik-bot|DixonDBot|Egmontbot|EleferenBot|EmausBot|Escarbot|EugeneZelenkoBot|FiriBot|HedgeBot|HerculeBot|Idioma-bot|JAnDbot|JackieBot|Kobot|LaaknorBot|Loveless|Luckas-bot|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|MystBot|PipepBot|Ptbotgourou|Purbo T|Qualia|Riccardobot|Robbot|SieBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|TaBOT-zerem|TechBot|TetrixBot|Thijs!bot|TjBot|TobeBot|TuHan-Bot|VanBot|Ver-bot|VolkovBot|WikiDreamer Bot|Wizarbot|YurikBot|ZedlikBot|Zwobot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
mo,MediaWiki default|YurikBot
ko,AStarBot|Albambot|Alexbot|AlleborgoBot|AlnoktaBOT|Amirobot|ArthurBot|BodhisattvaBot|BotMultichill|ChandlerMapBot|Chobot|Choboty|CommonsDelinker|DixonDBot|Dotorida|DrFO.Tn.Bot|DragonBot|Egmontbot|EmausBot|Escarbot|Ficbot|FiriBot|GnawnBot|GrassnBreadPortalBot|Hashar|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|Le Pied-bot|Loveless|MediaWiki default|MelancholieBot|Metrobot|Mindlramibot|MondalorBot|Muro Bot|Nallimbot|NobelBot|PipepBot|PixelBot|Purbo T|Robbot|SieBot|SilvonenBot|Soulbot|Synthebot|TXiKiBoT|Tanhabot|Thijs!bot|TjBot|ToePeu bot|ToePeu.bot|TottyBot|TuHan-Bot|TuvicBot|Vina-iwbot|VolkovBot|WikiDreamer Bot|Wikier.bot|Wybot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot|ì‹œë“¤í•´ë´‡
vls,Alecs.bot|Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Erwin85Bot|Escarbot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|RoboServien|RobotTbc|SieBot|Synthebot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot|ã‚¿ãƒ�ã‚³ãƒž robot
ny,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|SieBot|Synthebot
zh,ALBot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|AmphBot|ArthurBot|BOTarate|Bencmq-bot|BokimBot|Bot-Schafter|Bot600|BotMultichill|BotSottile|Botz|Byrialbot|CarsracBot|Chlewbot|Chobot|CyeZBot|D\|Darkicebot|Diego Grez Bot|Dinamik-bot|Dingar-bot|DirlBot|DrFO.Tn.Bot|DragonBot|DumZiBoT|Edmundobot|Egmontbot|EivindBot|EleferenBot|EmausBot|Erwin85Bot|Escarbot|FdcnBot|Ficbot|FiriBot|FlaBot|Frank-bot|GhalyBot|GnawnBot|HRoestBot|Idioma-bot|Interwiki-XL-Bot|JAnDbot|Jimmy-bot|KamikazeBot|KocjoBot|Kwjbot|Kyle the bot|LaaknorBot|Le Pied-bot|Liangent-bot|LittleBot|Loveless|Luckas-bot|MediaWiki default|MenoBot|MerlLinkBot|Mobot|MondalorBot|Muro Bot|MystBot|Nallimbot|NobelBot|OKBot|P-bot|PipepBot|PixelBot|Ptbotgourou|Purbo T|R. Hillgentleman|Rei-bot|Robbot|RoboDick|STBot|STcatBot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Stub-bot|Swindbot|Synthebot|Sz-iwbot|TXiKiBoT|TaBOT-zerem|Tanhabot|TauBot|Thijs!bot|TjBot|TobeBot|ToePeu.bot|TuHan-Bot|TuvicBot|Ver-bot|Vina-iwbot|VolkovBot|WebBot|WikiDreamer Bot|Wybot|Xcnbot|XeBot|Yinweichen-bot|YonaBot|Yonidebot|Yukiseaside-bot|YukkeBot|YurikBot|ZhChemboxBot|Zxabot|Zybot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
sq,Albambot|AlleborgoBot|Almabot|Amirobot|ArthurBot|BetBot|BodhisattvaBot|BotMultichill|Botz|Byrialbot|CERabot|CarsracBot|DSisyphBot|D\|Darkicebot|DirlBot|DragonBot|EagleBot|Egmontbot|EmausBot|Escarbot|FiriBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|KamikazeBot|Kwjbot|Le Pied-bot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MenoBot|MondalorBot|Muro Bot|NobelBot|OKBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|Roboti|Rubinbot|SassoBot|SieBot|SilvonenBot|Soulbot|SpBot|StigBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
gu,Alexbot|AlleborgoBot|Almabot|BotMultichill|DragonBot|Escarbot|Gubot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|Purbo T|Robbot|SieBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|YurikBot
nov,AlleborgoBot|AlnoktaBOT|BotMultichill|Byrialbot|EDUCA33E|Escarbot|JAnDbot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot
pag,AlleborgoBot|BotMultichill|Idioma-bot|Luckas-bot|MediaWiki default|PipepBot|Purbo T
cr,Alexbot|AlleborgoBot|BotMultichill|Idioma-bot|MediaWiki default|PipepBot|Purbo T|SieBot
ia,Alexbot|AlleborgoBot|Almabot|BenzolBot|BotMultichill|Byrialbot|Chlewbot|Chobot|Darkicebot|Escarbot|FiriBot|HerculeBot|JAnDbot|Jotterbot|Le Pied-bot|Loveless|LucienBOT|MalafayaBot|MauritsBot|MediaWiki default|MelancholieBot|NobelBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|Robbot|RobotJcb|SieBot|SoxBot|SpBot|StigBot|Synthbot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|YurikBot|Zwobot|Zxabot
gd,Alexbot|AlleborgoBot|Almabot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Escarbot|FiriBot|FoxBot|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SassoBot|SieBot|Soulbot|SpBot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot
mn,AlleborgoBot|BokimBot|BotMultichill|Escarbot|Idioma-bot|JAnDbot|Loveless|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|Sz-iwbot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|YonaBot
fy,AlleborgoBot|Almabot|Byrialbot|CarsracBot|Darkicebot|Erwin85Bot|Escarbot|Gpvosbot|HerculeBot|JAnDbot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|PipepBot|Ptbotgourou|Purbo T|Robbot|RoboServien|RobotE|RobotQuistnix|SieBot|Synthebot|TXiKiBoT|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|Zwobot
gv,AlleborgoBot|AllieBot|BotMultichill|Byrialbot|Escarbot|FiriBot|FoxBot|JAnDbot|Loveless|MalafayaBot|MelancholieBot|MenoBot|PipepBot|Purbo T|Robbot|SieBot|SpBot|StigBot|TXiKiBoT|Thijs!bot|VolkovBot|Zorrobot
om,AlleborgoBot|BotMultichill|Escarbot|Idioma-bot|Loveless|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|Thijs!bot|YurikBot
map_bms,Alexbot|AlleborgoBot|BotMultichill|Escarbot|Loveless|MediaWiki default|PipepBot|Purbo T|Robbot|SieBot|SpBot|TXiKiBoT
km,AlleborgoBot|BotMultichill|Idioma-bot|JAnDbot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|SieBot|SpBot|Synthebot|TXiKiBoT|VolkovBot
als,Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Amirobot|BenzolBot|BotMultichill|BotSottile|Byrialbot|CarsracBot|Chlewbot|ChlÃ¤mens-bÃ¶tli|Chnodomar|D\|Darkicebot|DirlBot|Erwin85Bot|Escarbot|FiriBot|FlaBot|Hashar|Holder-Bot|JAnDbot|Kwjbot|Le Pied-bot|LinkFA-Bot|Loveless|LucienBOT|Luckas-bot|MagnusA.Bot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|PipepBot|PixelBot|Ptbotgourou|Purbo T|RCBot|Robbot|RobotJcb|SassoBot|SieBot|SilvonenBot|SoxBot|SpBot|StigBot|Strommops-Bot|Synthebot|Sz-iwbot|TXiKiBoT|Thijs!bot|Umschattiger-Bot|VolkovBot|WikiDreamer Bot|Xqbot|YonaBot|YurikBot|Zwobot|ã‚¿ãƒ�ã‚³ãƒž robot
or,AlleborgoBot|BotMultichill|MediaWiki default|PipepBot|Purbo T|ã‚¿ãƒ�ã‚³ãƒž robot
kr,MediaWiki default
eml,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|EmausBot|Escarbot|JAnDbot|MauritsBot|MediaWiki default|PipepBot|Ptbotgourou|Purbo T|SieBot|Synthebot|TQ-RobÃ³|TXiKiBoT|Thijs!bot|VolkovBot
mus,MediaWiki default
lb,Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|BodhisattvaBot|BotMultichill|Byrialbot|CarsracBot|Chobot|ChronoBot|CommonsDelinker|D\|Darkicebot|DirlBot|Escarbot|FiriBot|FlaBot|GnawnBot|HerculeBot|Huzzlet the bot|Idioma-bot|InterluxBot|JAnDbot|Le Pied-bot|LinkFA-Bot|Loveless|Luckas-bot|LuxBot|MGA73bot|MauritsBot|MediaWiki default|MelancholieBot|Melouresbot|MenoBot|MerlLinkBot|Muro Bot|NobelBot|Obersachsebot|PipepBot|PolarBot|Ptbotgourou|Purbo T|Qualia|Rei-bot|Riccardobot|Robbot|RobbyBot|RobotQuistnix|SassoBot|SieBot|Soulbot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TjBot|TuvicBot|VolkovBot|WikiDreamer Bot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
crh,AZatBot|Aibot|Alexbot|AlleborgoBot|BotMultichill|ButkoBot|Escarbot|Idioma-bot|JAnDbot|MauritsBot|MelancholieBot|Memty Bot|NobelBot|PipepBot|Purbo T|SieBot|SoxBot|SpBot|TXiKiBoT|Thijs!bot|VolkovBot
ks,AlleborgoBot|BotMultichill|DragonBot|JhsBot|MediaWiki default|PipepBot|Purbo T|SieBot|Sz-iwbot
hi,Alexbot|AlleborgoBot|Almabot|AmphBot|ArthurBot|BOTijo|BodhisattvaBot|Bolbalabot|BotMultichill|Byrialbot|DragonBot|EPanditBot|Escarbot|EukeshBot|Hashar|Idioma-bot|JAnDbot|Jotterbot|Loveless|Mayurbot|Mayurkumar|MediaWiki default|MelancholieBot|MerlLinkBot|MondalorBot|OKBot|PipepBot|Ptbotgourou|Purbo T|SieBot|SilvonenBot|SmackBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zorrobot|à¤—à¥�à¤°à¤¾à¤®à¥€à¤£à¤¬à¥‰à¤Ÿ|à¤¹à¤¿à¤‚à¤—à¥�à¤²à¤¿à¤¶à¤¬à¥‰à¤Ÿ|à¤¹à¤¿à¤¨à¥�à¤¦à¥€|ã‚¿ãƒ�ã‚³ãƒž robot
mt,Alexbot|AlleborgoBot|Almabot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Diego Grez Bot|EmausBot|Escarbot|FiriBot|HerculeBot|Idioma-bot|JAnDbot|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|Mentibot|MystBot|NobelBot|PipepBot|Ptbotgourou|Purbo T|Robbot|SassoBot|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|Xqbot|YurikBot
ug,AlleborgoBot|BotMultichill|DirlBot|GhalyBot|MediaWiki default|PipepBot|Purbo T|SieBot|SpBot|Thijs!bot|ã‚¿ãƒ�ã‚³ãƒž robot
ksh,(OpjaveleÃŸ)|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Amirobot|ArthurBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|EmausBot|Escarbot|FoxBot|GhalyBot|HerculeBot|Idioma-bot|JAnDbot|LinkFA-Bot|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|MerlLinkBot|Muro Bot|PipepBot|Ptbotgourou|Purbo T|ReDirBot|RoboServien|Rubinbot|SassoBot|SieBot|SilvonenBot|Synthebot|TXiKiBoT|Thijs!bot|TobeBot|VolkovBot|WikiDreamer Bot|Xqbot|Zxabot
nds_nl,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Darkicebot|Erwin85Bot|Escarbot|GrÃ¶nneger 2|JAnDbot|Le Pied-bot|Luckas-bot|MediaWiki default|MelancholieBot|Muro Bot|NaegelBot|PipepBot|Ptbotgourou|Purbo T|Qualia|Robbot|RoboServien|RobotQuistnix|SieBot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot
zu,Alexbot|AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SassoBot|SieBot
udm,Alexbot|AlleborgoBot|BotMultichill|CarsracBot|CommonsDelinker|D\|Darkicebot|Dinamik-bot|EDUCA33E|Escarbot|FoxBot|Idioma-bot|JAnDbot|Luckas-bot|MauritsBot|MediaWiki default|MelancholieBot|MenoBot|Muro Bot|PipepBot|Ptbotgourou|Purbo T|Purodha|Robbot|SassoBot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|VolkovBot|WikimediaNotifier|Xqbot|ã‚¿ãƒ�ã‚³ãƒž robot
pa,AlleborgoBot|BotMultichill|DragonBot|Gman124Bot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|StigBot
my,AlleborgoBot|BotMultichill|Byrialbot|Loveless|MediaWiki default|PipepBot|Purbo T
de,.snoopybot.|08-15-Bot|ABFbot|AHbot|APPERbot|AStarBot|Abbottbot|Adlerbot|Afrank99bot|AgentSpartiBot|Aibot|AkaBot|Aktionsbot|Albambot|Alecs.bot|Alexbot|AlleborgoBot|Almabot|AlnoktaBOT|Amirobot|AmphBot|Analphabot|ApeBot|ArchivBot|ArthurBot|AsgardBot|AttoBot|AwOcBot|BLUbot|BOTarate|BOTijo|BOTrany|BWBot|BenzolBot|BepBot|BetBot|BierBot|Bilderbot|BodhisattvaBot|BokimBot|BotMultichill|BotSottile|Bota47|BotdeSki|Boteas|Botes|Botteler|Broadbot|BuschBot|Byrialbot|BÃ¼cherBot|CactusBot|CarsracBot|CayoBot|ChenzwBot|Chlewbot|Chobot|Chrislbot|CivviBot|Collabsearch|ComillaBot|CommonsDelinker|ConBot|CopperBot|CyeZBot|CyroBot|DHN-bot|DSisyphBot|D\|DaBot|DanBot|Darkicebot|Dateieinbindungs-Bot|DateiÃ¼berprÃ¼fungshelfer|Deadbot|DieBucheBot|Dinamik-bot|DirlBot|DixonDBot|DodekBot|DorganBot|Dotorida|DrFO.Tn.Bot|DrTrigonBot|DragonBot|Drahbot01|DumZiBoT|Egmontbot|EgonBOT|EivindBot|ElMeBot|EleferenBot|EmausBot|Erwin85Bot|Escarbot|Estirabot|FANSTARbot|Ficbot|FinnBot|FiriBot|FixyBot|FlaBot|Flothi bot|FoZhBot|Forrester-Bot|GGNBot|GeoBot|Gerakibot|GhalyBot|GiftBot|GnawnBot|Gpvosbot|GrouchoBot|H92Bot|HDBot|HRoestBot|Harrobot|Heikobot|Hem-Kajk|HerculeBot|HfABot|HiW-Bot|Homobot|Horst Fuchs|Hxhbot|Idioma-bot|InkoBot|Itemsbot|JAnDbot|JackieBot|JhsBot|Jotterbot|K.J.Bot|Kal-El-Bot|KamikazeBot|KatBot|Ken123BOT|Kgsbot|KhanBot|KnopfBot|Kobot|KocjoBot|KokoBot|KuhloBot|Kwjbot|Kyle the bot|L&K-Bot|LSG1-Bot|LaaknorBot|LatitudeBot|Le Pied-bot|Lebewesen-Bot|LeonardoRob0t|LiBot|LinkFA-Bot|Lockalbot|Louperibot|Loveless|LucienBOT|Luckas-bot|LugPaj-Bot|Luuvabot|MGA73bot|MSBOT|MagnusA.Bot|MalarzBOT|MastiBot|MauritsBot|McBot|MediaWiki default|MelancholieBot|Memty Bot|MenasimBot|MenoBot|Mentibot|MerlBot|MerlLinkBot|MondalorBot|MorbZ-Bot|MoriBot|Mpbot|Muro Bot|MystBot|Nallimbot|Niabot-bot|NobelBot|Numbo3-bot|OKBot|Obarskyr Bot|Obersachsebot|OlliBot|OrBot|PDFbot|PatDi BOT|PatersBot|Perebot|Peter200Bot|Peti610bot|PipepBot|PixelBot|PmegBot|PnBot|PolarBot|PortalBot|Ptbotgourou|Purbo T|Pxbot|PyBot|QS-Bot|Qualia|R. Hillgentleman|RCBot|RKBot|Rameshngbot|RebelRobot|RedBot|RedirectBot|Rei-bot|RevoBot|RevoBot2|RhodoBot|Riad.Bot|RibotBOT|Riccardobot|Robbot|RoboServien|RobotE|RobotQuistnix|Rtz-bot|Rubinbot|STBot|SamatBot|SashatoBot|SassoBot|Sebbot|SieBot|SilvonenBot|SirBot|Sk-Bot|Slobot|Soulbot|SoxBot|SpBot|SpillingBot|StigBot|Superzerocool|Synthebot|TARBOT|TXiKiBoT|Tanhabot|TechBot|Tets-Bot|ThBot|TheJH Bot|Thijs!bot|Thollybot|ThorBot|TjBot|TobeBot|ToePeu.bot|TopBot|TottyBot|Tsca.bot|TtogBot|TuHan-Bot|TuvicBot|Ugur Basak Bot|VBot|VP-bot|VVVBot|VanBot|Ver-bot|Verwendungsreview-Bot|ViewerBot|Vini 17bot5|ViperBot|Visi-bot|ViskonBot|VolkovBot|VsBot|Werdnabot|WikiBotas|WikiDreamer Bot|WikijunkieBot|WinstonBot|WuBot|Wybot|XZeroBot|Xqbot|YonaBot|Yonidebot|YurikBot|ZenoBot|Zorrobot|Zwobot|Zxabot|Zyxwvut-Bot|ZÃ©roBot|ã‚¿ãƒ�ã‚³ãƒž robot
